Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted),,,
Name,Disaster,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
South and Southeast Severe Weather (May 2019),Severe Storm,1680.7,0
Central Severe Weather (May 2019),Severe Storm,1080.1,0
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,4992.8,3
Arkansas River Flooding (June 2019),Flooding,3357.8,5
Colorado Hail Storms (July 2019),Severe Storm,1118.9,0
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,6909.3,4
Hurricane Erin (August 1995),Tropical Cyclone,1581,6
Tropical Storm Imelda (September 2019),Tropical Cyclone,5500,5
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,1889.8,2
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,4995,3
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,1263.9,10
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,1381.6,3
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2569.6,25
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2813.8,0
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,3198.2,0
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,3823.1,35
Southern Severe Weather (April 2020),Severe Storm,1498.7,3
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,1140.1,1
Central and Eastern Severe Weather (May 2020),Severe Storm,2345.5,2
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,1758.3,2
South Texas Hail Storms (May 2020),Severe Storm,1554,0
Central Severe Weather (July 2020),Severe Storm,1315.6,0
Hurricane Sally (September 2020),Tropical Cyclone,7928.7,5
Hurricane Delta (October 2020),Tropical Cyclone,3125.3,5
Central Severe Weather - Derecho (August 2020),Severe Storm,12129.7,4
Hurricane Elena (September 1985),Tropical Cyclone,3412.1,4
Hurricane Bonnie (August 1998),Tropical Cyclone,1705.2,3
Hurricane Dolly (July 2008),Tropical Cyclone,1634.8,3
Hurricane Lili (October 2002),Tropical Cyclone,1734.1,2
Tropical Storm Eta (November 2020),Tropical Cyclone,1591.5,12
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,4899.8,45
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,17930.5,46
California Flooding and Severe Weather (January 2021),Flooding,1182.6,2
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,24500.8,262
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,1794.6,6
Eastern Severe Weather (March 2021),Severe Storm,1440.5,8
Texas Hail Storms (April 2021),Severe Storm,1578.3,0
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,3369.5,0
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,1327.5,4
Louisiana Flooding (May 2021),Flooding,1411.4,5
Ohio Valley Hail Storms (June 2021),Severe Storm,1775.3,0
Central Severe Storms (June 2021),Severe Storm,1303,0
Tropical Storm Elsa (July 2021),Tropical Cyclone,1261.5,1
Central Severe Storms (July 2021),Severe Storm,1123.2,0
North Central Severe Weather (August 2021),Severe Storm,1335.3,2
Tropical Storm Fred (August 2021),Tropical Cyclone,1328.1,7
Hurricane Hanna (July 2020),Tropical Cyclone,1171.8,0
Hurricane Nicholas (September 2021),Tropical Cyclone,1056.6,0
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,3993.3,93
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,1817.6,1
Western Drought and Heat Wave (2021),Drought,9105.6,229
Western Wildfires (2021),Wildfire,10816,8
