Track for Larry                2021
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/07/2021 09:52:47     23.673 N     55.069 W
09/07/2021 09:54:46     23.677 N     55.073 W
09/07/2021 09:56:46     23.682 N     55.077 W
09/07/2021 09:58:46     23.686 N     55.082 W
09/07/2021 10:00:46     23.690 N     55.086 W
09/07/2021 10:02:47     23.694 N     55.090 W
09/07/2021 10:04:47     23.698 N     55.095 W
09/07/2021 10:06:47     23.703 N     55.099 W
09/07/2021 10:08:47     23.707 N     55.104 W
09/07/2021 10:10:46     23.711 N     55.108 W
09/07/2021 10:12:46     23.715 N     55.112 W
09/07/2021 10:14:46     23.719 N     55.117 W
09/07/2021 10:16:47     23.724 N     55.121 W
09/07/2021 10:18:47     23.728 N     55.126 W
09/07/2021 10:20:47     23.732 N     55.130 W
09/07/2021 10:22:47     23.736 N     55.135 W
09/07/2021 10:24:46     23.740 N     55.139 W
09/07/2021 10:26:46     23.745 N     55.144 W
09/07/2021 10:28:46     23.749 N     55.148 W
09/07/2021 10:30:46     23.753 N     55.153 W
09/07/2021 10:32:47     23.757 N     55.157 W
09/07/2021 10:34:47     23.761 N     55.162 W
09/07/2021 10:36:47     23.766 N     55.166 W
09/07/2021 10:38:47     23.770 N     55.171 W
09/07/2021 10:40:46     23.774 N     55.175 W
09/07/2021 10:42:46     23.778 N     55.180 W
09/07/2021 10:44:46     23.783 N     55.184 W
09/07/2021 10:46:47     23.787 N     55.189 W
09/07/2021 10:48:47     23.791 N     55.193 W
09/07/2021 10:50:47     23.795 N     55.198 W
09/07/2021 10:52:47     23.799 N     55.203 W
09/07/2021 10:54:46     23.804 N     55.207 W
09/07/2021 10:56:46     23.808 N     55.212 W
09/07/2021 10:58:46     23.812 N     55.216 W
09/07/2021 11:00:46     23.816 N     55.221 W
09/07/2021 11:02:47     23.820 N     55.226 W
09/07/2021 11:04:47     23.825 N     55.230 W
09/07/2021 11:06:47     23.829 N     55.235 W
09/07/2021 11:08:47     23.833 N     55.239 W
09/07/2021 11:10:46     23.837 N     55.244 W
09/07/2021 11:12:46     23.841 N     55.249 W
09/07/2021 11:14:46     23.846 N     55.253 W
09/07/2021 11:16:47     23.850 N     55.258 W
09/07/2021 11:18:47     23.854 N     55.263 W
09/07/2021 11:20:47     23.858 N     55.267 W
09/07/2021 11:22:47     23.862 N     55.272 W
09/07/2021 11:24:46     23.867 N     55.277 W
09/07/2021 11:26:46     23.871 N     55.281 W
09/07/2021 11:28:46     23.875 N     55.286 W
